Reference, Value, Footprint, Datasheet, Arrow Part Number, Arrow Price/Stock, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
"I2C-Reset1","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"Power1","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"RF-WB-CCLevel1","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"WB-Comparator1","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"Mode1","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"RControl1","Conn_01x10_Female","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"GND/GND1","GND/GND","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"D16","SD12","Diode_SMD:D_1812_4532Metric","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"Rx-Zx2","LED","LED_SMD:LED_1210_3225Metric","~"
"R74","R","LED_SMD:LED_1206_3216Metric","~"
"R2","10","Resistor_SMD:R_2512_6332Metric","~"
"5-Ohm1","5 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"Load-RFIn1","Load/RFin","Connector_Coaxial:SMA_Molex_73251-2120_EdgeMount_Horizontal","~"
"10-Ohm1","10 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"R1","10","Resistor_SMD:R_2512_6332Metric","~"
"20-Ohm1","20 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"40-Ohm1","40 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"R5","10","Resistor_SMD:R_2512_6332Metric","~"
"80-Ohm1","80 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"160-Ohm1","160 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"320-Ohm1","320 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"640-Ohm1","640 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"1200-Ohm1","1200 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"R15","120","Resistor_SMD:R_2512_6332Metric","~"
"R14","120","Resistor_SMD:R_2512_6332Metric","~"
"R9","100","Resistor_SMD:R_2512_6332Metric","~"
"R6","330","Resistor_SMD:R_2512_6332Metric","~"
"R11","330","Resistor_SMD:R_2512_6332Metric","~"
"R13","100","Resistor_SMD:R_2512_6332Metric","~"
"R16","4700","Resistor_SMD:R_2512_6332Metric","~"
"R17","1000","Resistor_SMD:R_2512_6332Metric","~"
"Load/WB1","5 Ohm","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"Zx2","Zx","Connector_Coaxial:SMA_Molex_73251-2120_EdgeMount_Horizontal","~"
"R4","1000","Resistor_SMD:R_2512_6332Metric","~"
"R3","1000","Resistor_SMD:R_2512_6332Metric","~"
"Load/RFIn1","Load/RFIn","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"WB-Ref1","RFRef","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Zx1","Zx","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R8","10","Resistor_SMD:R_2512_6332Metric","~"
"R10","10","Resistor_SMD:R_2512_6332Metric","~"
"R12","10","Resistor_SMD:R_2512_6332Metric","~"
"R37","10","Resistor_SMD:R_2512_6332Metric","~"
"R35","10","Resistor_SMD:R_2512_6332Metric","~"
"R36","10","Resistor_SMD:R_2512_6332Metric","~"
"R38","120","Resistor_SMD:R_2512_6332Metric","~"
"R7","330","Resistor_SMD:R_2512_6332Metric","~"
"R18","4700","Resistor_SMD:R_2512_6332Metric","~"
"R39","220","Resistor_SMD:R_2512_6332Metric","~"
"R40","220","Resistor_SMD:R_2512_6332Metric","~"
"R41","4700","Resistor_SMD:R_2512_6332Metric","~"
"R42","330","Resistor_SMD:R_2512_6332Metric","~"
"R43","4700","Resistor_SMD:R_2512_6332Metric","~"
"U9","LM334M","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm134.pdf"
"R61","68","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"CC/RF1","CC-RF","Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g6k.pdf"
"U7","OPA356","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/opa356.pdf"
